Author,Comment
@blockbustermovie6235,Nothing feels better than seeing our legend getting back on track again 2023 Is Ajay Devgan year 
@topmusic0139,"Ajay Devgan is not just a name, it is an emotion for millions people's across the world️"
@mrrishishorts384,On behalf of all Ajay devgan fans in the world we wish this movie a great success 
@the_master_minds379,You can ignore bollywood but you can't ignore Ajay Devgan and Javed Ali ️
@90sromanticsongs17,"Ajay devgan acting + Javed Ali voice=
magic"
@ashalifevlogs.official,You can ignore Bollywood and its drama. but you can't ignore Ajay devgn and tabu any time
@ghulamhyder3728,Starting of an other era ... The legend Javed Ali is back 
@mohitjain8155,Ajay sir is not only superstar he is emotion of billion people ️
@gd-sparrow1293,Waiting for the song *Aaj phir jine ki Tamanna hai ....️️️️# the goosebumps provider ...️
@avneetkaurfc1million,You can ignore Bollywood but you can't ignore Ajay devgun and tabu 
@topmusic0139,Bhola is going to make a history on Bollywood ️
@yallaroutine,Not only Indians fans but all Ajay devgan fans in the world loves his's voice !!! We wish this movie a great success
@user-is3jg3ic4y,"Ajay devgan is not just a word, it's emoition for millions of peoples across the world "
@princeshukla6122,Ajay Sir Not Only Actor Is Emotion ️
@ram_charan_Fans_,"Ajay Devgan Sir Is Not Simply Acting  , He Is Just Living In His Character "
@GJK550,No hollywood no bollywood only Ajay sir 
@mohitjain8155,You can ignore Bollywood but you can't ignore Ajay sir ️
@user-by4sq6ee6f,"You can ignore Bollywood, but you can't ignore Ajay Devgn!"
@mohitjain8155,For Ajay devgan - this man is literally born to make his life 
@mrrishishorts384,"Ajay is not just a word, it's emoition for millions of peoples across the world "
